tech,cell_type,cell_name,from_pin,to_pin,pol,voltage,temp,delay,wp_sum,wn_sum,slew,cap,log_slew,log_cap,req_p,req_n,rc_p,rc_n,req_eff,rc_eff,wp_over_wn,pn_balance,is_inv,stack_pd,inv_v,inv_temp
Nangate45,INVX4,INV_X4,A,ZN,rise,1.1,25.0,14.5416,0.4014005409538832,0.22010808830167825,0.4675267141308018,-1.8186566816004612,0.4675267141308018,-1.8186566816004612,-0.40140053968712197,-0.22010808731912615,-2.2200571789025036,-2.038764750761258,-0.40140053968712197,-2.2200571789025036,1.5180722891566267,0.20574162679425848,1,1,0.9090909090909091,0.04
Nangate45,BUFX4,BUF_X4,A,Z,fall,1.1,25.0,39.6896,0.5774917999521181,0.3961993472701517,2.010552232202664,-2.1207784399803127,2.010552232202664,-2.1207784399803127,-0.577491798195592,-0.3961993460143429,-2.6982700803738,-2.5169777016187864,-0.3961993460143429,-2.5169777016187864,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,OR3X1,OR3_X1,A3,ZN,fall,1.1,25.0,124.75999999999999,0.1972805584013619,0.019116290862665523,2.6957770888750523,-3.4369736191894456,2.6957770888750523,-3.4369736191894456,-0.19728055744160553,-0.019116289993234985,-3.634253494307626,-3.4560898561837234,-0.019116289993234985,-3.4560898561837234,1.5071770334928236,0.20229007633587803,0,1,0.9090909090909091,0.04
Nangate45,AND2X2,AND2_X2,A2,ZN,rise,1.1,25.0,186.15599999999998,0.4014005409538832,0.22010808830167825,2.290366330174478,-0.9177533416626653,2.290366330174478,-0.9177533416626653,-0.40140053968712197,-0.22010808731912615,-1.3191538769818378,-1.1378614273309011,-0.40140053968712197,-1.3191538769818378,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,NAND2X2,NAND2_X2,A2,ZN,rise,1.1,25.0,74.7046,0.4014005409538832,0.22010808830167825,2.6957770888750523,-2.129621790262453,2.6957770888750523,-2.129621790262453,-0.40140053968712197,-0.22010808731912615,-2.531022242072757,-2.349729839670257,-0.40140053968712197,-2.531022242072757,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,OR3X1,OR3_X1,A3,ZN,fall,1.1,25.0,107.55199999999999,0.1972805584013619,0.019116290862665523,2.290366330174478,-2.4218089518294588,2.290366330174478,-2.4218089518294588,-0.19728055744160553,-0.019116289993234985,-2.6190894439980505,-2.440925237114677,-0.019116289993234985,-2.440925237114677,1.5071770334928236,0.20229007633587803,0,1,0.9090909090909091,0.04
Nangate45,AND4X2,AND4_X2,A2,ZN,rise,1.1,25.0,49.588100000000004,0.5774917999521181,0.3961993472701517,0.4675267141308018,-2.4245522336982863,0.4675267141308018,-2.4245522336982863,-0.577491798195592,-0.3961993460143429,-3.0020437126270414,-2.8207514087962875,-0.577491798195592,-3.0020437126270414,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,AND4X2,AND4_X2,A2,ZN,fall,1.1,25.0,50.2754,0.5774917999521181,0.3961993472701517,0.4675267141308018,-1.5214623477117555,0.4675267141308018,-1.5214623477117555,-0.577491798195592,-0.3961993460143429,-2.0989541074353997,-1.9176616733077663,-0.3961993460143429,-1.9176616733077663,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,OR4X2,OR4_X2,A4,ZN,fall,1.1,25.0,144.834,0.5774917999521181,0.3961993472701517,2.290366330174478,-1.8208418660352044,2.290366330174478,-1.8208418660352044,-0.577491798195592,-0.3961993460143429,-2.398333585949585,-2.217041170294594,-0.3961993460143429,-2.217041170294594,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,NOR3X1,NOR3_X1,A3,ZN,rise,1.1,25.0,101.404,0.27646180440302964,0.09516935178058604,1.0722471396325435,-2.0689053289512906,1.0722471396325435,-2.0689053289512906,-0.27646180335242765,-0.09516935089105848,-2.3453670878264727,-2.164074667913354,-0.27646180335242765,-2.3453670878264727,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,AND4X2,AND4_X2,A2,ZN,rise,1.1,25.0,90.9741,0.5774917999521181,0.3961993472701517,2.6957770888750523,-2.4245522336982863,2.6957770888750523,-2.4245522336982863,-0.577491798195592,-0.3961993460143429,-3.0020437126270414,-2.8207514087962875,-0.577491798195592,-3.0020437126270414,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,NAND3X2,NAND3_X2,A1,ZN,fall,1.1,25.0,34.407199999999996,0.5774917999521181,0.3961993472701517,2.010552232202664,-2.13864478004419,2.010552232202664,-2.13864478004419,-0.577491798195592,-0.3961993460143429,-2.7161364137415687,-2.5348440380937416,-0.3961993460143429,-2.5348440380937416,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
Nangate45,OR3X2,OR3_X2,A3,ZN,fall,1.1,25.0,67.8816,0.4983105539274718,0.31701810125741003,0.4675267141308018,-3.4369736191894456,0.4675267141308018,-3.4369736191894456,-0.49831055242157285,-0.31701810014695037,-3.9352816191306457,-3.7539904433114795,-0.31701810014695037,-3.7539904433114795,1.5180722891566267,0.20574162679425842,0,1,0.9090909090909091,0.04
Nangate45,OR2X2,OR2_X2,A1,ZN,rise,1.1,25.0,27.209400000000002,0.4014005409538832,0.22010808830167825,2.290366330174478,-3.4369736191894456,2.290366330174478,-3.4369736191894456,-0.40140053968712197,-0.22010808731912615,-3.8383723544580066,-3.657080923255836,-0.40140053968712197,-3.8383723544580066,1.5180722891566267,0.20574162679425848,0,1,0.9090909090909091,0.04
