seed,best_epoch,val_r2,val_loss,val_mae,val_mape
9294,65,0.894500,0.100690,17.314026,33.857000
9295,110,0.930400,0.066500,13.108173,22.566000
9296,110,0.912300,0.083758,15.035802,26.779000
9297,55,0.908300,0.087529,16.062904,30.581000
9298,130,0.902600,0.092977,16.343178,31.924000
