method,n_seed,val_r2_mean,val_r2_std,val_mae_mean,val_mae_std,val_mape_mean,val_mape_std,delta_r2_vs_tcdp,delta_mae_vs_tcdp,delta_mape_vs_tcdp
simple_mix_no_transfer,5,0.869460,0.002454,17.910440,0.260473,29.433400,0.593983,-0.063180,4.785777,3.951600
tcdp_joint_reference,5,0.932640,0.006819,13.124664,0.581621,25.481800,0.870223,,,
